name,sc_type,ml_type,owner,pos.x,pos.y,pos.z,radius,is_on_screen
Camera,-1,-1,-1,127.453125,102.9296875,0.0,-1,False
Probe,84,27,1,135.868408203125,105.906982421875,11.991090774536133,0.375,True
Probe,84,27,1,139.297119140625,104.95068359375,11.991259574890137,0.375,True
WarpGate,133,41,1,133.5,95.5,11.989013671875,1.8125,True
Probe,84,27,1,139.31298828125,106.650634765625,11.991259574890137,0.375,True
Zealot,73,44,1,123.329833984375,97.680908203125,11.991090774536133,0.5,True
Marine,48,74,2,125.584228515625,106.403564453125,11.989013671875,0.375,True
WarpGate,133,41,1,125.5,99.5,11.991090774536133,1.8125,True
Probe,84,27,1,138.663330078125,100.14306640625,11.991090774536133,0.375,True
Stalker,74,34,1,122.818359375,98.620849609375,11.991096496582031,0.625,True
WarpGate,133,41,1,130.5,93.5,11.989013671875,1.8125,True
VespeneGeyser,342,255,16,132.5,108.5,11.991259574890137,1.5,True
Marine,48,74,2,126.447509765625,107.594482421875,11.989013671875,0.375,True
WarpGate,133,41,1,128.5,101.5,11.991174697875977,1.8125,True
Medivac,54,75,2,125.53125,107.96484375,15.73828125,0.75,True
Stalker,74,34,1,131.806396484375,103.7080078125,11.991259574890137,0.625,True
Pylon,60,28,1,134.0,93.0,11.989013671875,1.125,True
Probe,84,27,1,133.626220703125,105.871337890625,11.991090774536133,0.375,True
Probe,84,27,1,138.771240234375,102.5068359375,11.99109172821045,0.375,True
WarpGate,133,41,1,127.5,95.5,11.989013671875,1.8125,True
MineralField750,483,237,16,140.0,107.5,11.992694854736328,1.125,True
Probe,84,27,1,138.684814453125,101.50537109375,11.991090774536133,0.375,True
Pylon,60,28,1,128.0,99.0,11.991090774536133,1.125,True
Nexus,59,21,1,135.5,101.5,11.991090774536133,2.75,True
TemplarArchive,68,38,1,137.5,95.5,11.989013671875,1.8125,True
Marauder,51,73,2,125.30859375,107.611328125,11.989013671875,0.5625,True
Probe,84,27,1,133.609619140625,105.9130859375,11.991090774536133,0.375,True
Probe,84,27,1,140.041748046875,105.62841796875,11.991259574890137,0.375,True
Marine,48,74,2,125.941162109375,108.21630859375,11.989013671875,0.375,True
Zealot,73,44,1,123.80859375,96.634033203125,11.991090774536133,0.5,True
Pylon,60,28,1,131.0,96.0,11.991090774536133,1.125,True
MineralField750,483,237,16,137.0,108.5,11.991090774536133,1.125,True
Pylon,60,28,1,135.0,98.0,11.991090774536133,1.125,True
TwilightCouncil,65,39,1,130.5,98.5,11.991090774536133,1.8125,True
WarpGate,133,41,1,123.5,102.5,11.991259574890137,1.8125,True
Observer,82,22,1,123.304931640625,99.691162109375,15.73828125,0.5,True
Stalker,74,34,1,132.291748046875,105.101806640625,11.991209983825684,0.625,True
MineralField,341,235,16,136.0,107.5,11.991090774536133,1.125,True
Pylon,60,28,1,131.0,102.0,11.991259574890137,1.125,True
Probe,84,27,1,137.65283203125,104.408935546875,11.991201400756836,0.375,True
Probe,84,27,1,137.378662109375,107.6259765625,11.992156028747559,0.375,True
RoboticsFacility,71,31,1,129.5,104.5,11.991259574890137,1.8125,True
Marine,48,74,2,125.93310546875,106.996826171875,11.989013671875,0.375,True
Probe,84,27,1,135.926025390625,106.63671875,11.991090774536133,0.375,True
Assimilator,61,3,1,132.5,108.5,11.991259574890137,1.6875,True
WarpGate,133,41,1,126.5,104.5,11.989013671875,1.8125,True
Probe,84,27,1,137.2119140625,106.5205078125,11.991127014160156,0.375,True
Marauder,51,73,2,124.384033203125,108.135498046875,11.989013671875,0.5625,True
